Stock-table register name mapping
=================================

Each entry of zx_stock_init_table[] (zx_stock_table.h) is
written by the driver during probe. This file maps each entry
index → its underlying HW register, where derivable from the
descriptor tables in zx-fpga-reg-tables.h.

Mapping rule:
  fpga_byte = off + 0x1c0000  (whether off is negative pon_early
                                or non-negative base — same math)
  fpga_word = fpga_byte >> 2

Match against descriptor entries: base_off + stride*sub_idx == fpga_word.
Multiple regs can share the same word (packed bit-fields); shown as alts.

  /*20630*/ off=   0x1c8014 val=0x01000fff  → zx_sbragregtable[reg_id=15, sub=0] RW mask=0xfff shift=0 + 4 bitfield alts
  /*20631*/ off=   0x1c8018 val=0x00000001  → zx_sbragregtable[reg_id=20, sub=0] R mask=0x1 shift=0 + 1 bitfield alts
  /*20632*/ off=   0x1c801c val=0x0001ffff  → zx_sbragregtable[reg_id=22, sub=0] RW mask=0xffffffff shift=0 + 1 bitfield alts
  /*20637*/ off=   0x1c8180 val=0x00000004  → zx_sbragregtable[reg_id=23, sub=0] RW mask=0x1 shift=0 + 5 bitfield alts
  /*20638*/ off=   0x1c8184 val=0x00000001  → zx_sbragregtable[reg_id=29, sub=0] RW mask=0x3 shift=0
  /*20639*/ off=   0x1c8204 val=0x00000001  → zx_sbragregtable[reg_id=43, sub=1] R mask=0x1fff shift=0
  /*20640*/ off=   0x1c82d4 val=0x00005555  → zx_sbragregtable[reg_id=45, sub=0] RW mask=0xffff shift=0 + 2 bitfield alts
  /*20641*/ off=   0x1c83c0 val=0x000000fe  → zx_sbragregtable[reg_id=57, sub=0] RW mask=0xff shift=0
  /*20642*/ off=   0x1c83c4 val=0x000000fd  → zx_sbragregtable[reg_id=57, sub=1] RW mask=0xff shift=0
  /*20643*/ off=   0x1c83c8 val=0x000000fb  → zx_sbragregtable[reg_id=57, sub=2] RW mask=0xff shift=0
  /*20644*/ off=   0x1c83cc val=0x000000f7  → zx_sbragregtable[reg_id=57, sub=3] RW mask=0xff shift=0
  /*20645*/ off=   0x1c83d0 val=0x000000ef  → zx_sbragregtable[reg_id=57, sub=4] RW mask=0xff shift=0
  /*20646*/ off=   0x1c83d4 val=0x000000df  → zx_sbragregtable[reg_id=57, sub=5] RW mask=0xff shift=0
  /*20647*/ off=   0x1c83d8 val=0x000000ff  → zx_sbragregtable[reg_id=57, sub=6] RW mask=0xff shift=0
  /*20648*/ off=   0x1c83dc val=0x000000ff  → zx_sbragregtable[reg_id=57, sub=7] RW mask=0xff shift=0
  /*20649*/ off=   0x1c8630 val=0x00000080  → zx_sbragregtable[reg_id=58, sub=0] RW mask=0x7 shift=0 + 7 bitfield alts
  /*20650*/ off=   0x1c8638 val=0x000000c0  → zx_sbragregtable[reg_id=67, sub=0] RW mask=0xff shift=0
  /*20676*/ off=   0x1cc014 val=0x00000004  → zx_claregtable[reg_id=0, sub=0] RW mask=0xfffffff shift=0
  /*20677*/ off=   0x1cc018 val=0x00000001  → zx_claregtable[reg_id=1, sub=0] R mask=0x1 shift=0
  /*20678*/ off=   0x1cc01c val=0x43424140  → zx_claregtable[reg_id=2, sub=0] RW mask=0xffffffff shift=0
  /*20679*/ off=   0x1cc020 val=0x47464544  → zx_claregtable[reg_id=2, sub=1] RW mask=0xffffffff shift=0
  /*20680*/ off=   0x1cc024 val=0x4b4a4948  → zx_claregtable[reg_id=2, sub=2] RW mask=0xffffffff shift=0
  /*20681*/ off=   0x1cc028 val=0x4f4e4d4c  → zx_claregtable[reg_id=2, sub=3] RW mask=0xffffffff shift=0
  /*20682*/ off=   0x1cc02c val=0x00150355  → zx_claregtable[reg_id=2, sub=4] RW mask=0xffffffff shift=0
  /*20683*/ off=   0x1cc030 val=0x00000ff0  → zx_claregtable[reg_id=2, sub=5] RW mask=0xffffffff shift=0
  /*20684*/ off=   0x1cc054 val=0x00202000  → zx_claregtable[reg_id=2, sub=14] RW mask=0xffffffff shift=0
  /*20685*/ off=   0x1cc058 val=0x00000012  → zx_claregtable[reg_id=2, sub=15] RW mask=0xffffffff shift=0
  /*20686*/ off=   0x1cc088 val=0x00007fff  → zx_claregtable[reg_id=6, sub=0] RW mask=0x3fff shift=0 + 1 bitfield alts
  /*20687*/ off=   0x1cc090 val=0x00e400e4  → zx_claregtable[reg_id=12, sub=0] RW mask=0xff00ff shift=0
  /*20688*/ off=   0x1cc094 val=0x00000004  → zx_claregtable[reg_id=13, sub=0] RW mask=0xf shift=0
  /*20689*/ off=   0x1cc098 val=0x7fff7fff  → zx_claregtable[reg_id=14, sub=0] RW mask=0x3fff shift=16 + 3 bitfield alts
  /*20690*/ off=   0x1cc0c8 val=0x00000001  → zx_claregtable[reg_id=20, sub=0] RW mask=0x3 shift=0
  /*20691*/ off=   0x1cc0d0 val=0x00000001  → zx_claregtable[reg_id=22, sub=0] RW mask=0x3 shift=0
  /*20692*/ off=   0x1cc0d4 val=0x00000007  → UNKNOWN (fpga word 0xe3035)
  /*21192*/ off=   0x1cf9fc val=0x0132c0a8  → UNKNOWN (fpga word 0xe3e7f)
  /*21235*/ off=   0x1d4000 val=0x00000001  → zx_admregtable[reg_id=0, sub=0] RW mask=0x1 shift=0 + 2 bitfield alts
  /*21236*/ off=   0x1d4004 val=0x000003e7  → zx_admregtable[reg_id=4, sub=0] RW mask=0x3ffff shift=0
  /*21237*/ off=   0x1d4008 val=0x00000834  → zx_admregtable[reg_id=3, sub=0] RW mask=0x1fffff shift=0
  /*21238*/ off=   0x1d4018 val=0x00000001  → zx_admregtable[reg_id=6, sub=0] R mask=0x1 shift=0
  /*21239*/ off=   0x1d402c val=0x00000018  → zx_admregtable[reg_id=8, sub=0] RW mask=0x3f shift=0
  /*21240*/ off=   0x1d4048 val=0x0bebc200  → zx_admregtable[reg_id=11, sub=0] RW mask=0xfffffff shift=0
  /*21241*/ off=   0x1d4080 val=0x00201f40  → zx_admregtable[reg_id=12, sub=0] RW mask=0x1 shift=21 + 1 bitfield alts
  /*21242*/ off=   0x1d40c0 val=0x00201f40  → zx_admregtable[reg_id=13, sub=0] RW mask=0x1 shift=21 + 1 bitfield alts
  /*21243*/ off=   0x1d4140 val=0x00000009  → zx_admregtable[reg_id=17, sub=0] R mask=0xffffffff shift=0
  /*21244*/ off=   0x1d4148 val=0x00000022  → zx_admregtable[reg_id=17, sub=2] R mask=0xffffffff shift=0
  /*21245*/ off=   0x1d414c val=0x000004d5  → zx_admregtable[reg_id=17, sub=3] R mask=0xffffffff shift=0
  /*21246*/ off=   0x1d4150 val=0x0000001c  → zx_admregtable[reg_id=17, sub=4] R mask=0xffffffff shift=0
  /*21247*/ off=   0x1d4154 val=0x00000012  → zx_admregtable[reg_id=17, sub=5] R mask=0xffffffff shift=0
  /*21619*/ off=   0x1d8000 val=0x000010c0  → zx_dparegtable[reg_id=0, sub=0] RW mask=0x1 shift=6 + 6 bitfield alts
  /*21620*/ off=   0x1d8014 val=0x0000001f  → zx_dparegtable[reg_id=7, sub=0] RW mask=0x1 shift=0
  /*21623*/ off=   0x1d8080 val=0x00688688  → zx_dparegtable[reg_id=9, sub=0] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21624*/ off=   0x1d8084 val=0x00688688  → zx_dparegtable[reg_id=17, sub=0] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21625*/ off=   0x1d8088 val=0x00688688  → zx_dparegtable[reg_id=9, sub=1] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21626*/ off=   0x1d808c val=0x00688688  → zx_dparegtable[reg_id=17, sub=1] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21627*/ off=   0x1d8090 val=0x00688688  → zx_dparegtable[reg_id=9, sub=2] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21628*/ off=   0x1d8094 val=0x00688688  → zx_dparegtable[reg_id=17, sub=2] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21629*/ off=   0x1d8098 val=0x00688688  → zx_dparegtable[reg_id=9, sub=3] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21630*/ off=   0x1d809c val=0x00688688  → zx_dparegtable[reg_id=17, sub=3] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21631*/ off=   0x1d80a0 val=0x00688688  → zx_dparegtable[reg_id=9, sub=4] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21632*/ off=   0x1d80a4 val=0x00688688  → zx_dparegtable[reg_id=17, sub=4] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21633*/ off=   0x1d80a8 val=0x00688688  → zx_dparegtable[reg_id=9, sub=5] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21634*/ off=   0x1d80ac val=0x00688688  → zx_dparegtable[reg_id=17, sub=5] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21635*/ off=   0x1d80b0 val=0x00688688  → zx_dparegtable[reg_id=9, sub=6] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21636*/ off=   0x1d80b4 val=0x00688688  → zx_dparegtable[reg_id=17, sub=6] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21637*/ off=   0x1d80b8 val=0x00688688  → zx_dparegtable[reg_id=9, sub=7] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21638*/ off=   0x1d80bc val=0x00688688  → zx_dparegtable[reg_id=17, sub=7] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21639*/ off=   0x1d80c0 val=0x00688688  → zx_dparegtable[reg_id=9, sub=8] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21640*/ off=   0x1d80c4 val=0x00688688  → zx_dparegtable[reg_id=17, sub=8] RW mask=0x7 shift=0 + 7 bitfield alts
  /*21725*/ off=   0x1da140 val=0x2387a132  → UNKNOWN (fpga word 0xe6850)
  /*21771*/ off=   0x1dc014 val=0x03000003  → zx_pppmregtable[reg_id=0, sub=0] RW mask=0xfcfffff shift=0
  /*21772*/ off=   0x1dc018 val=0x00000001  → zx_pppmregtable[reg_id=1, sub=0] RW mask=0x1 shift=0
  /*21773*/ off=   0x1dc01c val=0x470f4267  → zx_pppmregtable[reg_id=2, sub=0] RW mask=0xffffffff shift=0
  /*21774*/ off=   0x1dc020 val=0x0000f4f6  → zx_pppmregtable[reg_id=2, sub=1] RW mask=0xffffffff shift=0
  /*21775*/ off=   0x1dc034 val=0x0000003d  → zx_pppmregtable[reg_id=4, sub=0] RW mask=0x3f shift=1 + 1 bitfield alts
  /*21794*/ off=   0x1dc108 val=0x0000003d  → zx_pppmregtable[reg_id=3, sub=2] RW mask=0xffffffff shift=0
  /*22171*/ off=   0x1e0004 val=0x00000001  → zx_ponppregtable[reg_id=1, sub=0] RW mask=0x1 shift=0
  /*22172*/ off=   0x1e001c val=0x21200000  → zx_ponppregtable[reg_id=8, sub=0] RW mask=0x3 shift=4 + 5 bitfield alts
  /*22173*/ off=   0x1e0020 val=0x4eb20000  → zx_ponppregtable[reg_id=14, sub=0] RW mask=0xffffffff shift=0
  /*22174*/ off=   0x1e0024 val=0x4e720000  → zx_ponppregtable[reg_id=15, sub=0] RW mask=0xffffffff shift=0
  /*22175*/ off=   0x1e0028 val=0x00000640  → zx_ponppregtable[reg_id=16, sub=0] RW mask=0x3fff shift=0
  /*22177*/ off=   0x1e0118 val=0x00008100  → zx_ponppregtable[reg_id=17, sub=0] RW mask=0xffff shift=0
  /*22178*/ off=   0x1e011c val=0x00009100  → zx_ponppregtable[reg_id=17, sub=1] RW mask=0xffff shift=0
  /*22179*/ off=   0x1e0120 val=0x000088a8  → zx_ponppregtable[reg_id=17, sub=2] RW mask=0xffff shift=0
  /*22180*/ off=   0x1e0124 val=0x00009200  → zx_ponppregtable[reg_id=17, sub=3] RW mask=0xffff shift=0
  /*22181*/ off=   0x1e0128 val=0x00008100  → zx_ponppregtable[reg_id=17, sub=4] RW mask=0xffff shift=0
  /*22182*/ off=   0x1e012c val=0x00008100  → zx_ponppregtable[reg_id=17, sub=5] RW mask=0xffff shift=0
  /*22183*/ off=   0x1e0130 val=0x00008100  → zx_ponppregtable[reg_id=17, sub=6] RW mask=0xffff shift=0
  /*22184*/ off=   0x1e0134 val=0x00008100  → zx_ponppregtable[reg_id=17, sub=7] RW mask=0xffff shift=0
  /*22187*/ off=   0x1e03e0 val=0x00000040  → zx_ponppregtable[reg_id=18, sub=8] RW mask=0xfffff shift=0 + 1 bitfield alts
  /*22188*/ off=   0x1e03e4 val=0x00000040  → zx_ponppregtable[reg_id=19, sub=1] RW mask=0xffff shift=0
  /*22189*/ off=   0x1e03e8 val=0x00000040  → zx_ponppregtable[reg_id=19, sub=2] RW mask=0xffff shift=0
  /*22190*/ off=   0x1e03ec val=0x00000040  → zx_ponppregtable[reg_id=19, sub=3] RW mask=0xffff shift=0
  /*22191*/ off=   0x1e03f0 val=0x00000040  → zx_ponppregtable[reg_id=19, sub=4] RW mask=0xffff shift=0
  /*22192*/ off=   0x1e03f4 val=0x00000040  → zx_ponppregtable[reg_id=19, sub=5] RW mask=0xffff shift=0
  /*22193*/ off=   0x1e03f8 val=0x00000040  → zx_ponppregtable[reg_id=19, sub=6] RW mask=0xffff shift=0
  /*22194*/ off=   0x1e03fc val=0x00000040  → zx_ponppregtable[reg_id=19, sub=7] RW mask=0xffff shift=0
  /*22252*/ off=   0x1e1924 val=0x00009200  → UNKNOWN (fpga word 0xe8649)

==================================================
Summary:
  total entries:    22363
  matched:          252 (1.1%)
  unmatched:        22111 (98.9%)

Hits per descriptor table:
  zx_sparegtable               665
  zx_dparegtable               152
  zx_schregtable                57
  zx_claregtable                42
  zx_sbragregtable              38
  zx_ponppregtable              27
  zx_admregtable                17
  zx_redregtable                15
  zx_gregregtable               15
  zx_sadmregtable               15
  zx_sdetgregtable               9
  zx_qmgregtable                 7
  zx_pppmregtable                7
  zx_pontmregtable               6
  zx_smacregtable                3
  zx_sipcregtable                2
