  149 J 00000000 00000008 00000006 00000001
  150 J 00000000 00000009 00000006 00000001
  151 J 00000000 0000000a 00000006 00000001
  152 J 00000000 0000000b 00000006 00000001
  153 J 00000000 0000000c 00000006 00000001
  154 J 00000000 00000010 00000006 00000001
  155 J 00000000 00000011 00000006 00000001
  156 J 00000000 00000012 00000006 00000001
  157 J 00000000 00000013 00000006 00000001
  158 J 00000000 00000014 00000006 00000001
  159 J 00000000 00000015 00000006 00000001
  160 J 00000000 00000016 00000006 00000001
  161 J 00000000 0000001b 00000006 00000001
  162 J 00000000 0000001c 00000006 00000001
  163 J 00000000 0000001d 00000006 00000001
  164 J 00000000 0000001e 00000006 00000001
  165 J 00000000 0000001f 00000006 00000001
  166 J 00000000 00000020 00000006 00000001
  167 J 00000000 00000021 00000006 00000001
  168 J 00000000 00000022 00000006 00000001
  169 J 00000000 00000023 00000006 00000001
  170 J 00000000 00000024 00000006 00000001
  171 J 00000000 00000025 00000006 00000001
  172 J 00000000 00000026 00000006 00000001
  173 J 00000000 00000027 00000006 00000001
  174 J 00000000 00000028 00000006 00000001
  175 J 00000000 00000029 00000006 00000001
  176 J 00000000 0000002a 00000006 00000001
  177 J 00000000 0000002b 00000006 00000001
  178 J 00000000 00000048 00000006 00000001
  179 J 00000000 00000049 00000006 00000001
  180 J 00000000 0000002c 00000005 00000001
  181 J 00000000 00000053 00000005 00000001
  182 J 00000000 00000003 00000004 00000001
  183 J 00000000 00000004 00000004 00000001
  184 J 00000000 00000005 00000004 00000001
  185 J 00000000 00000006 00000004 00000001
  186 J 00000000 00000007 00000004 00000001
  187 J 00000000 0000000d 00000004 00000001
  188 J 00000000 0000000e 00000004 00000001
  189 J 00000000 0000000f 00000004 00000001
  190 J 00000000 00000017 00000004 00000001
  191 J 00000000 00000018 00000004 00000001
  192 J 00000000 00000019 00000004 00000001
  193 J 00000000 0000001a 00000004 00000001
  194 J 00000000 00000033 00000004 00000001
  195 J 00000000 00000034 00000004 00000001
  196 J 00000000 00000035 00000004 00000001
  197 J 00000000 00000036 00000004 00000001
  198 J 00000000 00000037 00000004 00000001
  199 J 00000000 00000038 00000004 00000001
  200 J 00000000 00000039 00000004 00000001
  201 J 00000000 0000003a 00000004 00000001
  202 J 00000000 0000003b 00000004 00000001
